Model,MAE,RMSE,R2
Random Forest,1.6103498940800915,10.384734089865644,0.3806304459080251
XGBoost,1.4445921443649523,8.070587419723388,0.6259157837345806
SVR,1.154368132588196,6.310727482898098,0.7712727307886911
